# Callsign Distribution...
# Total Calls      6342 (100.0%)
# Local...         2883 ( 45.5%)
#  - USA           2607 ( 41.1%)
#  - Canada         206 (  3.2%)
#  - Mexico          47 (  0.7%)
#  - Alaska          13 (  0.2%)
#  - Hawaii          10 (  0.2%)
# DX...            3459 ( 54.5%)
#  - N. America      67 (  1.1%)
#  - S. America     380 (  6.0%)
#  - Europe        2100 ( 33.1%)
#  - Asia           706 ( 11.1%)
#  - Africa          43 (  0.7%)
#  - Oceania        132 (  2.1%)
#  - Maritime        31 (  0.5%)

cabrillo_id	year	call	host	cat	section	dxcc	score	qso	mult	late_log_flag	club	minutes_on	ops
ARRL-10	2025	AB2E	AB2E	SOU-MIX-HP	SNJ		698880	722	273	0	Frankford Radio Club	801	AB2E
ARRL-10	2025	AB2IW	AB2IW	SO-PH-QRP	NNY		2024	44	23	0		300	
ARRL-10	2025	AB2NM	AB2NM	SO-PH-LP	WNY		1100	28	22	0		140	AB2NM
ARRL-10	2025	AB3AI	AB3AI	SO-MIX-LP	GA		44226	172	81	0	South East Contest Club	594	AB3AI
ARRL-10	2025	AB4BA	AB4BA	SOU-MIX-HP	CO		16	4	2	0		1	AB4BA
ARRL-10	2025	AB4WV	AB4WV	SO-CW-QRP	AL		61272	208	74	0		816	N4RT
ARRL-10	2025	AB5KM	AB5KM	SOU-PH-HP	STX		16244	132	62	0	TX Emergency Amateur Communicators	345	AB5KM
ARRL-10	2025	AB5SE	AB5SE	SOU-CW-LP	AR		244532	545	113	0		958	AB5SE
ARRL-10	2025	AB5ZA	AB5ZA	SO-MIX-LP	MT		40926	198	57	0	Big Sky Contesters	517	AB5ZA
ARRL-10	2025	AB6GS	AB6GS	SOU-PH-HP	WY		208902	955	111	0		1146	AB6GS
ARRL-10	2025	AB7R	AB7R	SOU-CW-HP	ID		230912	710	82	0	All Idaho Contest Club	900	AB7R
ARRL-10	2025	AB7RW	AB7RW	SO-CW-LP	WWA		29920	138	55	0		295	AB7RW
ARRL-10	2025	AB8DF	AB8DF	SO-CW-QRP	MI		2856	37	21	0		185	AB8DF
ARRL-10	2025	AB8FJ	AB8FJ	SO-CW-QRP	OH		168	7	6	0		18	AB8FJ
ARRL-10	2025	AB8RL	AB8RL	SO-MIX-LP	WV		36778	149	71	0		393	AB8RL
ARRL-10	2025	AB9BH	AB9BH	SOU-MIX-LP	WWA		16432	96	52	0		396	AB9BH
ARRL-10	2025	AB9M	AB9M	SO-PH-HP	IL		896	28	16	0	Society of Midwest Contesters	93	AB9M
ARRL-10	2025	AB9YC	AB9YC	SOU-MIX-LP	IL		134420	338	110	0	Society of Midwest Contesters	520	AB9YC
ARRL-10	2025	AC0E	AC0E	SO-CW-HP	KS		3948	47	21	0	Western Kansas ARC	93	AC0E
ARRL-10	2025	AC0RL	AC0RL	SOU-MIX-HP	KS		43974	188	63	0		366	AC0RL
ARRL-10	2025	AC0WL	AC0WL	SOU-PH-HP	MO		36400	336	56	0		432	AC0WL
ARRL-10	2025	AC1J	AC1J	SO-MIX-LP	NH		31228	144	74	0		390	
ARRL-10	2025	AC1PK	AC1PK	SOU-PH-LP	NH		12760	118	55	0		558	AC1PK
ARRL-10	2025	AC1W	AC1W	SO-PH-LP	MI		2000	40	25	0		166	AC1W
ARRL-10	2025	AC2FA	AC2FA	SOU-MIX-LP	WNY		19694	125	43	0	Niagara Frontier Radiosport	405	AC2FA
ARRL-10	2025	AC2N	AC2N	SO-PH-QRP	NFL		8836	96	47	0		584	AC2N
ARRL-10	2025	AC2OC	AC2OC	SO-MIX-LP	ENY		5440	52	34	0		224	AC2OC
ARRL-10	2025	AC2RL	AC2RL	SOU-MIX-HP	WNY		1564	23	23	0	Rochester (NY) DX Assn	74	AC2RL
ARRL-10	2025	AC2YD	AC2YD	SOU-CW-QRP	NNJ		60480	217	70	0		934	AC2YD
ARRL-10	2025	AC2ZZ	AC2ZZ	SO-PH-LP	NNJ		3224	62	26	0		191	AC2ZZ
ARRL-10	2025	AC3BQ	AC3BQ	SO-PH-LP	EPA		2080	41	26	0		226	AC3BQ
ARRL-10	2025	AC3HT	AC3HT	SO-PH-LP	EPA		612	19	18	0		124	AC3HT
ARRL-10	2025	AC3KT	AC3KT	SO-PH-LP	MDC		15494	130	61	0		751	AC3KT
ARRL-10	2025	AC3LW	AC3LW	SO-PH-LP	EPA		2500	50	25	0		240	AC3LW
ARRL-10	2025	AC3RA	AC3RA	SOU-CW-LP	WPA		28420	146	49	0		442	AC3RA
ARRL-10	2025	AC4FD	AC4FD	MSLP	NNJ		11664	109	54	0		400	AC4FD KD2WGB
ARRL-10	2025	AC4G	AC4G	SO-MIX-LP	TN		252900	563	150	0	Tennessee Contest Group	622	AC4G
ARRL-10	2025	AC5AA	AC5AA	SO-CW-LP	STX		59280	228	65	0	Central Texas DX and Contest Club	413	AC5AA
ARRL-10	2025	AC5H	AC5H	SO-PH-LP	STX		500	26	10	0		127	AC5H
ARRL-10	2025	AC5T	AC5T	SO-CW-LP	NTX		10512	74	36	0	DFW Contest Group	188	AC5T
ARRL-10	2025	AC5XK	AC5XK	SOU-CW-LP	MDC		149408	414	92	0	Potomac Valley Radio Club	757	AC5XK
